perturbation,category,target_text,target_logprob,drift,soar,soar_signal,soar_pedestrian,soar_crosswalk,decision,raw_output,grid,cam_valid,cam_valid_reason
clean,clean,Decision: Do not proceed,-0.269446,0.0,0.246683,0.000895,0.067142,0.230308,do_not_proceed,"Decision: Do not proceed Evidence: The pedestrian crossing is active, indicating that vehicles must stop for pedestrians to cross.",1x20x32,True,ok
weather_fog_mild,weather,Decision: Do not proceed,-0.245297,0.150032,0.234933,0.007194,0.078646,0.200957,do_not_proceed,"Decision: Do not proceed Evidence: The pedestrian crossing is active, indicating that vehicles must stop for pedestrians to cross.",1x20x32,True,ok
weather_fog_dense,weather,Decision: Do not proceed,-0.267175,0.122754,0.25956,0.00234,0.073589,0.241558,do_not_proceed,"Decision: Do not proceed Evidence: The pedestrian crossing is active, indicating that vehicles must stop for pedestrians to cross.",1x20x32,True,ok
weather_rain_streaks,weather,Decision: Do not proceed,-0.259309,0.129577,0.213109,0.001997,0.05426,0.200595,do_not_proceed,"Decision: Do not proceed Evidence: The pedestrian crossing is active, indicating that vehicles must stop for pedestrians to cross.",1x20x32,True,ok
weather_snow_particles,weather,Decision: Do not proceed,-0.24299,0.163372,0.331461,0.000511,0.08532,0.310138,do_not_proceed,"Decision: Do not proceed Evidence: The pedestrian crossing is active, indicating that vehicles must stop for pedestrians to cross.",1x20x32,True,ok
weather_dust_haze,weather,Decision: Do not proceed,-0.24943,0.137834,0.288836,0.007487,0.080966,0.261437,do_not_proceed,"Decision: Do not proceed Evidence: The pedestrian crossing is active, indicating that vehicles must stop for pedestrians to cross.",1x20x32,True,ok
illumination_sun_glare,illumination,Decision: Do not proceed,-0.268396,0.076954,0.252919,0.003218,0.073952,0.229767,do_not_proceed,"Decision: Do not proceed Evidence: The pedestrian crossing is active, indicating that vehicles must stop for pedestrians to cross.",1x20x32,True,ok
illumination_night_low_light,illumination,Decision: Do not proceed,-0.298212,0.210072,0.13014,0.003332,0.019897,0.119761,cannot_determine,"Decision: Cannot determine Evidence: The image shows a pedestrian crossing the street, which could affect the visibility of traffic signals or other vehicles' movements.",1x20x32,True,ok
camera_motion_blur,camera,Decision: Do not proceed,-0.261332,0.171431,0.210086,0.003252,0.048494,0.188163,do_not_proceed,"Decision: Do not proceed Evidence: The pedestrian is crossing the street, which means the vehicle must stop to allow them to cross safely.",1x20x32,True,ok
camera_defocus_blur,camera,Decision: Do not proceed,-0.276887,0.185983,0.35201,0.009498,0.088377,0.318165,cannot_determine,"Decision: Cannot determine Evidence: The image is blurred, making it difficult to discern the traffic signals or the state of the intersection clearly.",1x20x32,True,ok
camera_windshield_droplets,camera,Decision: Do not proceed,-0.279535,0.130754,0.275617,0.003012,0.053639,0.269308,do_not_proceed,"Decision: Do not proceed Evidence: The pedestrian crossing is active, indicating that vehicles must stop for pedestrians to cross.",1x20x32,True,ok
camera_jpeg_q45,camera,Decision: Do not proceed,-0.218275,0.23652,0.115436,0.0,0.060752,0.108333,do_not_proceed,"Decision: Do not proceed Evidence: The pedestrian is crossing the street, which means the vehicle must stop to allow them to cross safely.",1x20x32,True,ok
camera_resolution_drop_070,camera,Decision: Do not proceed,-0.228626,0.171521,0.255772,0.007829,0.084912,0.220231,do_not_proceed,"Decision: Do not proceed Evidence: The pedestrian crossing is occupied by a person, indicating that it is unsafe for vehicles to proceed straight through the intersection.",1x20x32,True,ok
camera_low_light_sensor_noise,camera,Decision: Do not proceed,-0.288174,0.276465,0.159475,0.003541,0.038216,0.139712,cannot_determine,"Decision: Cannot determine Evidence: The image shows a busy urban street with multiple lanes and vehicles, but it does not provide clear information about the traffic signals or the direction of the intersection.",1x20x32,True,ok
