perturbation,rank,x_px,y_px,x_frac,y_frac,value,image_width,image_height
clean,1,462,379,0.516201,0.675579,1.0,896,562
clean,2,461,379,0.515084,0.675579,1.0,896,562
clean,3,463,379,0.517318,0.675579,0.992064,896,562
clean,4,460,379,0.513966,0.675579,0.988095,896,562
clean,5,461,378,0.515084,0.673797,0.988095,896,562
clean,6,462,378,0.516201,0.673797,0.988095,896,562
clean,7,461,380,0.515084,0.677362,0.984127,896,562
clean,8,462,380,0.516201,0.677362,0.984127,896,562
clean,9,464,379,0.518436,0.675579,0.984127,896,562
clean,10,463,378,0.517318,0.673797,0.980159,896,562
weather_fog_mild,1,294,378,0.328492,0.673797,1.0,896,562
weather_fog_mild,2,294,379,0.328492,0.675579,1.0,896,562
weather_fog_mild,3,294,377,0.328492,0.672014,0.996047,896,562
weather_fog_mild,4,294,376,0.328492,0.670232,0.996047,896,562
weather_fog_mild,5,294,374,0.328492,0.666667,0.992095,896,562
weather_fog_mild,6,293,379,0.327374,0.675579,0.992095,896,562
weather_fog_mild,7,293,378,0.327374,0.673797,0.992095,896,562
weather_fog_mild,8,294,373,0.328492,0.664884,0.992095,896,562
weather_fog_mild,9,294,375,0.328492,0.668449,0.992095,896,562
weather_fog_mild,10,294,371,0.328492,0.661319,0.988142,896,562
weather_fog_dense,1,462,379,0.516201,0.675579,1.0,896,562
weather_fog_dense,2,461,379,0.515084,0.675579,0.996032,896,562
weather_fog_dense,3,463,379,0.517318,0.675579,0.992064,896,562
weather_fog_dense,4,462,378,0.516201,0.673797,0.988095,896,562
weather_fog_dense,5,461,378,0.515084,0.673797,0.984127,896,562
weather_fog_dense,6,464,379,0.518436,0.675579,0.984127,896,562
weather_fog_dense,7,460,379,0.513966,0.675579,0.984127,896,562
weather_fog_dense,8,463,378,0.517318,0.673797,0.980159,896,562
weather_fog_dense,9,462,380,0.516201,0.677362,0.976191,896,562
weather_fog_dense,10,460,378,0.513966,0.673797,0.972222,896,562
weather_rain_streaks,1,98,379,0.109497,0.675579,1.0,896,562
weather_rain_streaks,2,97,379,0.10838,0.675579,0.995984,896,562
weather_rain_streaks,3,461,379,0.515084,0.675579,0.983936,896,562
weather_rain_streaks,4,460,379,0.513966,0.675579,0.97992,896,562
weather_rain_streaks,5,98,378,0.109497,0.673797,0.97992,896,562
weather_rain_streaks,6,462,379,0.516201,0.675579,0.97992,896,562
weather_rain_streaks,7,98,380,0.109497,0.677362,0.975904,896,562
weather_rain_streaks,8,97,378,0.10838,0.673797,0.975904,896,562
weather_rain_streaks,9,459,379,0.512849,0.675579,0.975904,896,562
weather_rain_streaks,10,97,380,0.10838,0.677362,0.971888,896,562
weather_snow_particles,1,462,379,0.516201,0.675579,1.0,896,562
weather_snow_particles,2,461,379,0.515084,0.675579,0.996032,896,562
weather_snow_particles,3,463,379,0.517318,0.675579,0.992064,896,562
weather_snow_particles,4,462,378,0.516201,0.673797,0.984127,896,562
weather_snow_particles,5,464,379,0.518436,0.675579,0.984127,896,562
weather_snow_particles,6,465,379,0.519553,0.675579,0.980159,896,562
weather_snow_particles,7,460,379,0.513966,0.675579,0.980159,896,562
weather_snow_particles,8,461,378,0.515084,0.673797,0.980159,896,562
weather_snow_particles,9,462,380,0.516201,0.677362,0.976191,896,562
weather_snow_particles,10,463,378,0.517318,0.673797,0.976191,896,562
weather_dust_haze,1,462,379,0.516201,0.675579,1.0,896,562
weather_dust_haze,2,461,379,0.515084,0.675579,1.0,896,562
